City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Vestmannaeyjar,IS,63.4427,-20.2734,53.47,96,100,8.68,overcast clouds
317,Broome,US,42.2506,-75.833,72.68,95,0,1.01,clear sky
318,Arlit,NE,18.7369,7.3853,88.02,39,52,3.62,broken clouds
319,Novikovo,RU,51.1537,37.8879,70.0,60,79,7.67,broken clouds
320,Maragogi,BR,-9.0122,-35.2225,71.83,88,53,2.28,broken clouds
321,Chimbote,PE,-9.0853,-78.5783,61.3,88,91,9.53,overcast clouds
322,Namatanai,PG,-3.6667,152.4333,85.33,64,96,2.51,overcast clouds
323,Codrington,AU,-38.2667,141.9667,55.9,72,52,6.31,broken clouds
324,Carnduff,CA,49.1667,-101.8009,59.38,47,100,19.28,overcast clouds
325,Smirnykh,RU,49.75,142.8333,58.15,88,100,8.9,light rain
326,Colonelganj,IN,27.1333,81.7,88.03,67,100,7.0,moderate rain
327,Watertown,US,42.3709,-71.1828,77.58,86,0,4.0,clear sky
328,Polson,US,47.6936,-114.1632,64.22,50,18,7.74,few clouds
329,Halifax,CA,44.6453,-63.5724,71.49,96,100,2.3,overcast clouds
330,Sumter,US,28.7086,-82.0831,82.15,83,16,5.97,few clouds
331,Ust-Omchug,RU,61.15,149.6333,64.72,57,88,13.8,overcast clouds
332,Bourail,NC,-21.5667,165.4833,76.96,76,67,3.27,broken clouds
333,Valley City,US,46.9233,-98.0032,73.92,64,0,11.5,clear sky
334,Shenjiamen,CN,29.9576,122.298,86.92,78,0,12.39,clear sky
335,Meulaboh,ID,4.1363,96.1285,83.52,65,93,0.49,overcast clouds
